epoch,dino_collapse_flag,dino_feat_mean_cos,dino_knn_top1_k10,dino_knn_top1_k20,dino_teacher_entropy,dino_teacher_entropy_is_centered,dino_teacher_entropy_norm,loss,val_dino_collapse_flag,val_dino_feat_mean_cos,val_dino_knn_top1_k10,val_dino_knn_top1_k20,val_dino_teacher_entropy,val_dino_teacher_entropy_is_centered,val_dino_teacher_entropy_norm,val_loss
0,0.0,0.29867683566806913,0.251953125,0.2919921875,8.24808484526417,1.0,0.9916225919245027,8.124670028686523,NA,NA,NA,NA,NA,NA,NA,NA
1,nan,nan,nan,nan,nan,nan,nan,7.87748384475708,NA,NA,NA,NA,NA,NA,NA,NA
2,nan,nan,nan,nan,nan,nan,nan,7.552235126495361,NA,NA,NA,NA,NA,NA,NA,NA
3,nan,nan,nan,nan,nan,nan,nan,7.230861663818359,NA,NA,NA,NA,NA,NA,NA,NA
4,0.0,0.25615095042040964,0.2919921875,0.2958984375,7.509040350834678,1.0,0.9027712729986928,6.981944561004639,NA,NA,NA,NA,NA,NA,NA,NA
5,nan,nan,nan,nan,nan,nan,nan,6.837892532348633,NA,NA,NA,NA,NA,NA,NA,NA
6,nan,nan,nan,nan,nan,nan,nan,6.7052178382873535,NA,NA,NA,NA,NA,NA,NA,NA
7,nan,nan,nan,nan,nan,nan,nan,6.594974517822266,NA,NA,NA,NA,NA,NA,NA,NA
8,0.0,0.30327446222655424,0.318359375,0.3232421875,7.246746408162498,1.0,0.8712370921363287,6.4790191650390625,NA,NA,NA,NA,NA,NA,NA,NA
9,nan,nan,nan,nan,nan,nan,nan,6.370911598205566,NA,NA,NA,NA,NA,NA,NA,NA
10,nan,nan,nan,nan,nan,nan,nan,6.318144798278809,NA,NA,NA,NA,NA,NA,NA,NA
11,nan,nan,nan,nan,nan,nan,nan,6.237119674682617,NA,NA,NA,NA,NA,NA,NA,NA
12,0.0,0.3146868431274562,0.333984375,0.345703125,7.030830132258062,1.0,0.8452786470951168,6.180092811584473,NA,NA,NA,NA,NA,NA,NA,NA
13,nan,nan,nan,nan,nan,nan,nan,6.10164213180542,NA,NA,NA,NA,NA,NA,NA,NA
14,nan,nan,nan,nan,nan,nan,nan,6.060764789581299,NA,NA,NA,NA,NA,NA,NA,NA
15,nan,nan,nan,nan,nan,nan,nan,6.02070951461792,NA,NA,NA,NA,NA,NA,NA,NA
16,0.0,0.32176388274935686,0.36328125,0.37109375,6.922438712106115,1.0,0.8322473334011063,5.952391147613525,NA,NA,NA,NA,NA,NA,NA,NA
17,nan,nan,nan,nan,nan,nan,nan,5.935063362121582,NA,NA,NA,NA,NA,NA,NA,NA
18,nan,nan,nan,nan,nan,nan,nan,5.887581825256348,NA,NA,NA,NA,NA,NA,NA,NA
19,nan,nan,nan,nan,nan,nan,nan,5.803001403808594,NA,NA,NA,NA,NA,NA,NA,NA
20,0.0,0.30174452629292275,0.375,0.3828125,6.863867868921934,1.0,0.8252056779842311,5.782812595367432,NA,NA,NA,NA,NA,NA,NA,NA
21,nan,nan,nan,nan,nan,nan,nan,5.750277519226074,NA,NA,NA,NA,NA,NA,NA,NA
22,nan,nan,nan,nan,nan,nan,nan,5.704009532928467,NA,NA,NA,NA,NA,NA,NA,NA
23,nan,nan,nan,nan,nan,nan,nan,5.672972679138184,NA,NA,NA,NA,NA,NA,NA,NA
24,0.0,0.30957719501086917,0.3935546875,0.4111328125,6.824705776387852,1.0,0.8204974315934181,5.606371879577637,NA,NA,NA,NA,NA,NA,NA,NA
25,nan,nan,nan,nan,nan,nan,nan,5.544957160949707,NA,NA,NA,NA,NA,NA,NA,NA
26,nan,nan,nan,nan,nan,nan,nan,5.523653984069824,NA,NA,NA,NA,NA,NA,NA,NA
27,nan,nan,nan,nan,nan,nan,nan,5.461695671081543,NA,NA,NA,NA,NA,NA,NA,NA
28,0.0,0.31109343057353417,0.384765625,0.404296875,6.675932532735175,1.0,0.8026112298571946,5.396730422973633,NA,NA,NA,NA,NA,NA,NA,NA
29,nan,nan,nan,nan,nan,nan,nan,5.353531360626221,NA,NA,NA,NA,NA,NA,NA,NA
30,nan,nan,nan,nan,nan,nan,nan,5.306673526763916,NA,NA,NA,NA,NA,NA,NA,NA
31,nan,nan,nan,nan,nan,nan,nan,5.236654281616211,NA,NA,NA,NA,NA,NA,NA,NA
32,0.0,0.29311504649276,0.4130859375,0.42578125,6.532604591137444,1.0,0.7853796873102055,5.23272705078125,NA,NA,NA,NA,NA,NA,NA,NA
33,nan,nan,nan,nan,nan,nan,nan,5.167398929595947,NA,NA,NA,NA,NA,NA,NA,NA
34,nan,nan,nan,nan,nan,nan,nan,5.152667045593262,NA,NA,NA,NA,NA,NA,NA,NA
35,nan,nan,nan,nan,nan,nan,nan,5.091912746429443,NA,NA,NA,NA,NA,NA,NA,NA
36,0.0,0.2943670972179257,0.412109375,0.4140625,6.45353069006126,1.0,0.7758730602313426,5.060343265533447,NA,NA,NA,NA,NA,NA,NA,NA
37,nan,nan,nan,nan,nan,nan,nan,5.050496578216553,NA,NA,NA,NA,NA,NA,NA,NA
38,nan,nan,nan,nan,nan,nan,nan,4.997729301452637,NA,NA,NA,NA,NA,NA,NA,NA
39,nan,nan,nan,nan,nan,nan,nan,4.955666542053223,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0,0.2935447798242505,0.4169921875,0.4296875,6.404252867389097,1.0,0.769948654365098,4.938356876373291,NA,NA,NA,NA,NA,NA,NA,NA
41,nan,nan,nan,nan,nan,nan,nan,4.92228889465332,NA,NA,NA,NA,NA,NA,NA,NA
42,nan,nan,nan,nan,nan,nan,nan,4.862925052642822,NA,NA,NA,NA,NA,NA,NA,NA
43,nan,nan,nan,nan,nan,nan,nan,4.862935543060303,NA,NA,NA,NA,NA,NA,NA,NA
44,0.0,0.2977432915805056,0.423828125,0.4287109375,6.339407838002394,1.0,0.76215268750489,4.820755481719971,NA,NA,NA,NA,NA,NA,NA,NA
45,nan,nan,nan,nan,nan,nan,nan,4.808990955352783,NA,NA,NA,NA,NA,NA,NA,NA
46,nan,nan,nan,nan,nan,nan,nan,4.788290977478027,NA,NA,NA,NA,NA,NA,NA,NA
47,nan,nan,nan,nan,nan,nan,nan,4.796529293060303,NA,NA,NA,NA,NA,NA,NA,NA
48,0.0,0.2861511257099851,0.419921875,0.4345703125,6.2997533703713255,1.0,0.7573852455215204,4.770084381103516,NA,NA,NA,NA,NA,NA,NA,NA
49,nan,nan,nan,nan,nan,nan,nan,4.745565414428711,NA,NA,NA,NA,NA,NA,NA,NA
50,nan,nan,nan,nan,nan,nan,nan,4.7390360832214355,NA,NA,NA,NA,NA,NA,NA,NA
51,nan,nan,nan,nan,nan,nan,nan,4.7286505699157715,NA,NA,NA,NA,NA,NA,NA,NA
52,0.0,0.28100571336305424,0.4189453125,0.435546875,6.303160484193869,1.0,0.7577948643728144,4.690999984741211,NA,NA,NA,NA,NA,NA,NA,NA
53,nan,nan,nan,nan,nan,nan,nan,4.717918872833252,NA,NA,NA,NA,NA,NA,NA,NA
54,nan,nan,nan,nan,nan,nan,nan,4.711826324462891,NA,NA,NA,NA,NA,NA,NA,NA
55,nan,nan,nan,nan,nan,nan,nan,4.688621997833252,NA,NA,NA,NA,NA,NA,NA,NA
56,0.0,0.27984348274405385,0.419921875,0.427734375,6.287087483281881,1.0,0.755862494480487,4.68251895904541,NA,NA,NA,NA,NA,NA,NA,NA
57,nan,nan,nan,nan,nan,nan,nan,4.67872953414917,NA,NA,NA,NA,NA,NA,NA,NA
58,nan,nan,nan,nan,nan,nan,nan,4.671113967895508,NA,NA,NA,NA,NA,NA,NA,NA
59,nan,nan,nan,nan,nan,nan,nan,4.660829544067383,NA,NA,NA,NA,NA,NA,NA,NA
