epoch,dino_collapse_flag,dino_feat_mean_cos,dino_knn_top1_k10,dino_knn_top1_k20,dino_teacher_entropy,dino_teacher_entropy_is_centered,dino_teacher_entropy_norm,loss,val_dino_collapse_flag,val_dino_feat_mean_cos,val_dino_knn_top1_k10,val_dino_knn_top1_k20,val_dino_teacher_entropy,val_dino_teacher_entropy_is_centered,val_dino_teacher_entropy_norm,val_loss
48,0.0,0.46582335200097796,0.3369140625,0.333984375,8.23228923564475,1.0,0.9897235712856897,8.050652503967285,NA,NA,NA,NA,NA,NA,NA,NA
49,nan,nan,nan,nan,nan,nan,nan,8.054174423217773,NA,NA,NA,NA,NA,NA,NA,NA
50,nan,nan,nan,nan,nan,nan,nan,8.04697322845459,NA,NA,NA,NA,NA,NA,NA,NA
51,nan,nan,nan,nan,nan,nan,nan,8.054977416992188,NA,NA,NA,NA,NA,NA,NA,NA
52,0.0,0.46882576068403026,0.326171875,0.3349609375,8.232513261583891,1.0,0.9897505047116423,8.047818183898926,NA,NA,NA,NA,NA,NA,NA,NA
53,nan,nan,nan,nan,nan,nan,nan,8.042638778686523,NA,NA,NA,NA,NA,NA,NA,NA
54,nan,nan,nan,nan,nan,nan,nan,8.045114517211914,NA,NA,NA,NA,NA,NA,NA,NA
55,nan,nan,nan,nan,nan,nan,nan,8.045159339904785,NA,NA,NA,NA,NA,NA,NA,NA
56,0.0,0.4741146796386668,0.3330078125,0.33984375,8.228095019151958,1.0,0.9892193233411426,8.03935432434082,NA,NA,NA,NA,NA,NA,NA,NA
57,nan,nan,nan,nan,nan,nan,nan,8.043219566345215,NA,NA,NA,NA,NA,NA,NA,NA
58,nan,nan,nan,nan,nan,nan,nan,8.041275024414062,NA,NA,NA,NA,NA,NA,NA,NA
59,nan,nan,nan,nan,nan,nan,nan,8.04028606414795,NA,NA,NA,NA,NA,NA,NA,NA
